,MajorArea,WORLD,More developed regions,Less developed regions,Least developed countries,Less developed regions excluding least developed countries,High-income countries,Middle-income countries,Upper-middle-income countries,Lower-middle-income countries,Low-income countries,Sub-Saharan Africa,AFRICA,Eastern Africa,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Reunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,Tanzania,Zambia,Zimbabwe,Middle Africa,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Northern Africa,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Southern Africa,Botswana,Lesotho,Namibia,South Africa,Swaziland,Western Africa,Benin,Burkina Faso,Cabo Verde,Cote d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,ASIA,Central Asia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,Eastern Asia,China,China Hong Kong SAR,China Macao SAR,North Korea,Japan,Mongolia,South Korea,Southern Asia,Afghanistan,Bangladesh,Bhutan,India,Iran,Maldives,Nepal,Pakistan,Sri Lanka,South-Eastern Asia,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Western Asia,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,EUROPE,Eastern Europe,Belarus,Bulgaria,Czechia,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Northern Europe,Channel Islands,Denmark,Estonia,Faeroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom,Southern Europe,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,Portugal,San Marino,Serbia,Slovenia,Spain,TFYR Macedonia,Western Europe,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,LATIN AMERICA AND THE CARIBBEAN,Caribbean,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,British Virgin Islands,Caribbean Netherlands,Cayman Islands,Cuba,Curacao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten,Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Central America,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,South America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,NORTHERN AMERICA,Bermuda,Canada,Greenland,Saint Pierre and Miquelon,USA,OCEANIA,Australia/New Zealand,Australia,New Zealand,Melanesia,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Micronesia,Guam,Kiribati,Marshall Islands,Micronesia.1,Nauru,Northern Mariana Islands,Palau,Polynesia,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands,Year
0,Other North,2144536,1094823,1049713,250575,799138,1129128,863674,217939,645735,141127,251536,263172,115128,8943,672,1827,345,7358,35132,3563,11744,75,1142,16965,6330,954,281,6098,0,359,1577,2905,8858,46890,2805,6889,2482,245,3245,30396,161,642,25,11636,3833,2346,0,3162,0,2252,43,24699,531,2679,669,19342,1478,64819,1117,6383,1000,9313,1147,4357,2726,380,5561,1782,52,2539,14265,21,11997,386,1793,718061,41217,0,7545,355,1119,32198,58189,15595,29032,10926,618,1316,169,533,126975,2338,97997,1369,21759,276,172,1393,1080,591,260482,200,1731,58930,308,33033,4663,12587,148625,5,114,286,231198,41834,1174,532,280,3822,494,126758,503,3297,870,1269,950,29093,1813,12108,450,4029,1922,889120,279044,117,1829,0,9119,13426,15268,7402,1428,12,230443,61819,904,0,535,41,1698,0,0,1075,0,9714,333,41155,6364,91537,5869,575,731,77858,924,0,406,0,0,0,1142,47,12,2742,618,613,456720,0,16707,0,260273,18,20,6059,102,173541,63640,21719,87,82,224,574,2575,337,73,51,1242,0,75,902,1054,935,408,219,643,36,6111,551,615,41,0,1005,348,3531,1820,202,530,61,28,57,495,389,58,40101,25358,791,6442,0,621,57,20,777,125,989,669,2219,2006,27,198964,29,3308,37,0,195590,11579,5423,655,4768,1891,194,1242,249,82,124,2266,1189,283,32,544,51,161,6,1999,199,27,485,41,56,4,1129,38,20,1990
1,Other South,6342531,3412144,2930387,533018,2397369,3750041,2156273,784944,1371329,419508,828343,858411,303496,50676,847,5484,737,22075,65430,2851,19158,292,1354,46404,6776,19265,493,12196,0,21368,2845,6228,19017,130185,2953,45980,7445,4986,4873,60792,365,2717,74,63352,11498,7038,0,7760,33284,3707,65,94275,1150,1092,2568,86678,2787,267103,11219,16395,787,12155,2293,6779,909,262,14804,16035,1371,7620,142800,17,23993,664,9000,1720274,51502,0,6818,309,1006,43369,267435,62366,189176,2735,2473,8616,506,1563,178819,4677,42072,456,108793,828,82,17551,3325,1035,246555,600,3962,31731,484,53583,8835,13018,132943,17,948,434,975963,52293,2348,1979,93,11464,19446,16296,1512,22990,2707,3379,3538,138673,20734,453300,183532,14989,26690,460004,234960,78,604,0,1692,40795,1770,1660,7222,100,181039,40382,357,0,107,104,424,0,0,554,0,3598,5524,27437,2277,37595,1441,192,727,25954,347,0,362,0,98,0,3103,60,68,915,3416,912,147067,0,11138,0,74364,11,336,2735,1925,56558,345931,34464,581,743,3121,962,2997,182,404,22,3726,0,389,300,416,3061,951,2130,1029,325,2883,1138,1217,211,0,3016,233,4427,211562,888,207798,183,60,87,1425,920,201,99905,59169,261,21752,0,208,170,11,2477,296,5461,369,5231,4244,256,2923654,624,2205,25,154,2920646,34257,19870,6240,13630,4750,1434,1064,1414,219,619,4837,1446,188,104,1899,166,934,100,4800,598,49,2929,16,177,21,962,41,7,1990
2,Afghanistan,6724681,119338,6605343,0,6605343,269865,6454816,3152582,3302234,0,123,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,237,677,0,0,0,0,123,0,0,64,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6604107,8485,0,0,8485,0,0,0,0,0,0,0,0,0,0,6414800,0,0,0,14159,3123968,0,0,3276673,0,57,0,0,0,0,32,0,25,0,0,0,0,180765,0,254,215,2,0,241,2724,74,1334,0,0,384,166255,0,0,7652,1630,0,82688,22587,140,222,51,274,219,0,0,19103,26,2552,6145,0,354,0,0,4,1,29,0,20,40,253,3368,2076,917,0,0,0,0,0,621,0,271,0,0,0,0,0,1,24,0,53039,4748,45,3346,33279,0,0,0,9865,1756,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,25,0,0,0,0,27,0,147,20,2,0,0,107,18,0,0,0,0,0,0,0,0,33765,0,5321,0,0,28444,2885,2885,2729,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
3,Albania,179490,177192,2298,0,2298,130506,48984,48446,538,0,78,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,111,315,0,0,0,0,78,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,421,0,0,0,0,870,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,801,0,0,170183,1948,0,103,44,96,82,0,591,1026,6,0,546,0,5,0,0,0,10,57,0,4,0,21,293,156,154187,0,0,0,0,0,63963,0,44937,16,0,11,27,57,15,160,45001,13502,1733,1363,3391,5211,0,290,0,181,1333,503,242,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,259,148,6,0,23,57,8,0,0,0,0,0,0,0,17,6025,0,398,0,0,5627,984,984,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
4,Algeria,906030,851351,54679,5587,49092,870696,30942,4728,26214,4137,6692,31772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,34,0,25080,0,543,1551,9188,0,13757,41,1064,0,0,716,348,0,5594,0,0,0,0,0,7,0,0,0,380,1450,293,0,0,3464,0,0,20924,198,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0,795,0,0,0,0,19931,0,0,0,9,0,0,19544,222,0,0,0,0,0,0,0,156,0,0,842314,2359,27,32,80,263,643,0,3,1303,8,0,6250,0,526,0,0,233,10,113,0,6,0,448,1320,3594,17978,0,0,0,0,0,203,0,6171,21,0,55,0,6,4,11518,0,815727,711,10413,788914,8493,0,98,0,1764,5334,865,222,0,0,0,0,0,0,0,0,103,0,0,0,0,74,0,0,45,0,0,0,0,0,0,0,0,0,141,0,44,0,0,0,47,50,0,502,229,4,0,45,17,16,0,95,0,0,12,0,0,84,8372,0,3743,0,0,4629,1783,665,665,0,513,0,513,0,0,0,0,0,0,0,0,0,0,0,605,0,0,605,0,0,0,0,0,0,1990
5,American Samoa,2041,1027,1014,0,1014,68,1973,1954,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,959,0,0,0,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,64,64,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,995,0,0,0,0,995,0,0,0,0,1990
6,Andorra,3792,3737,55,0,55,3747,45,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3404,4,0,0,4,0,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,6,2138,0,0,0,0,0,6,0,2,0,0,122,0,0,0,2008,0,1254,1,0,1233,0,0,0,0,0,20,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,2,0,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,333,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
7,Angola,809942,166746,643196,593741,49455,166230,174216,37435,136781,469496,637190,637213,124741,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,717,123777,0,479606,0,0,0,0,10334,468462,0,342,468,23,0,23,0,0,0,0,0,31185,551,0,24028,6602,4,1658,0,0,1588,0,0,0,0,0,0,70,0,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162918,637,0,4,33,32,38,0,0,519,11,0,1350,0,48,0,0,4,10,92,0,1,0,30,340,825,143098,0,0,0,0,0,20,0,304,0,0,141573,0,0,0,1201,0,17833,188,647,11499,0,0,0,0,1727,3772,5402,218,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,4,0,0,0,39,0,0,5141,20,6,4868,7,49,14,0,0,0,0,10,0,0,167,3518,0,1266,0,0,2252,310,310,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
8,Anguilla,2047,540,1507,0,1507,1364,515,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,314,0,10,0,0,0,0,0,304,0,0,99,0,0,0,0,0,0,0,0,4,0,0,0,95,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,8,0,0,0,0,7,0,1507,1460,0,17,0,0,0,0,168,0,0,0,7,139,0,0,0,0,0,0,0,0,16,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,47,0,0,0,8,39,0,0,0,0,0,0,0,0,0,106,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
9,Antigua and Barbuda,21747,14555,7192,0,7192,19767,1487,1428,59,0,693,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,693,0,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,2,0,1,1,0,0,0,0,0,0,0,543,0,0,0,0,0,0,1,0,0,0,0,0,542,13,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,54,4,0,19,0,0,0,0,11,20,6485,6385,0,0,0,13,226,388,321,0,0,0,184,266,22,0,0,120,0,172,0,175,49,51,0,0,0,4398,35,0,0,0,0,0,0,35,0,65,0,10,0,13,37,0,0,0,5,0,0,0,0,0,13922,0,1900,0,0,12022,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
