MajorArea,WORLD,More developed regions,Less developed regions,Least developed countries,Less developed regions excluding least developed countries,High-income countries,Middle-income countries,Upper-middle-income countries,Lower-middle-income countries,Low-income countries,Sub-Saharan Africa,AFRICA,Eastern Africa,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Reunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe,Middle Africa,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Northern Africa,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Southern Africa,Botswana,Lesotho,Namibia,South Africa,Swaziland,Western Africa,Benin,Burkina Faso,Cabo Verde,Côte d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,ASIA,Central Asia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,Eastern Asia,China,China Hong Kong SAR,China Macao SAR,Dem. People's Republic of Korea,Japan,Mongolia,Republic of Korea,Southern Asia,Afghanistan,Bangladesh,Bhutan,India,Iran,Maldives,Nepal,Pakistan,Sri Lanka,South-Eastern Asia,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Western Asia,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,EUROPE,Eastern Europe,Belarus,Bulgaria,Czechia,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Northern Europe,Channel Islands,Denmark,Estonia,Faeroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom,Southern Europe,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,Portugal,San Marino,Serbia,Slovenia,Spain,TFYR Macedonia,Western Europe,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,LATIN AMERICA AND THE CARIBBEAN,Caribbean,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,British Virgin Islands,Caribbean Netherlands,Cayman Islands,Cuba,Curacao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten,Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Central America,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,South America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,NORTHERN AMERICA,Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America,OCEANIA,Australia/New Zealand,Australia,New Zealand,Melanesia,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Micronesia,Guam,Kiribati,Marshall Islands,Micronesia,Nauru,Northern Mariana Islands,Palau,Polynesia,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands,Year
Other North,2144536.0,1094823.0,1049713.0,250575.0,799138.0,1129128.0,863674.0,217939.0,645735.0,141127.0,251536.0,263172.0,115128.0,8943.0,672.0,1827.0,345.0,7358.0,35132.0,3563.0,11744.0,75.0,1142.0,16965.0,6330.0,954.0,281.0,6098.0,0.0,359.0,1577.0,2905.0,8858.0,46890.0,2805.0,6889.0,2482.0,245.0,3245.0,30396.0,161.0,642.0,25.0,11636.0,3833.0,2346.0,0.0,3162.0,0.0,2252.0,43.0,24699.0,531.0,2679.0,669.0,19342.0,1478.0,64819.0,1117.0,6383.0,1000.0,9313.0,1147.0,4357.0,2726.0,380.0,5561.0,1782.0,52.0,2539.0,14265.0,21.0,11997.0,386.0,1793.0,718061.0,41217.0,0.0,7545.0,355.0,1119.0,32198.0,58189.0,15595.0,29032.0,10926.0,618.0,1316.0,169.0,533.0,126975.0,2338.0,97997.0,1369.0,21759.0,276.0,172.0,1393.0,1080.0,591.0,260482.0,200.0,1731.0,58930.0,308.0,33033.0,4663.0,12587.0,148625.0,5.0,114.0,286.0,231198.0,41834.0,1174.0,532.0,280.0,3822.0,494.0,126758.0,503.0,3297.0,870.0,1269.0,950.0,29093.0,1813.0,12108.0,450.0,4029.0,1922.0,889120.0,279044.0,117.0,1829.0,0.0,9119.0,13426.0,15268.0,7402.0,1428.0,12.0,230443.0,61819.0,904.0,0.0,535.0,41.0,1698.0,0.0,0.0,1075.0,0.0,9714.0,333.0,41155.0,6364.0,91537.0,5869.0,575.0,731.0,77858.0,924.0,0.0,406.0,0.0,0.0,0.0,1142.0,47.0,12.0,2742.0,618.0,613.0,456720.0,0.0,16707.0,0.0,260273.0,18.0,20.0,6059.0,102.0,173541.0,63640.0,21719.0,87.0,82.0,224.0,574.0,2575.0,337.0,73.0,51.0,1242.0,0.0,75.0,902.0,1054.0,935.0,408.0,219.0,643.0,36.0,6111.0,551.0,615.0,41.0,0.0,1005.0,348.0,3531.0,1820.0,202.0,530.0,61.0,28.0,57.0,495.0,389.0,58.0,40101.0,25358.0,791.0,6442.0,0.0,621.0,57.0,20.0,777.0,125.0,989.0,669.0,2219.0,2006.0,27.0,198964.0,29.0,3308.0,37.0,0.0,195590.0,11579.0,5423.0,655.0,4768.0,1891.0,194.0,1242.0,249.0,82.0,124.0,2266.0,1189.0,283.0,32.0,544.0,51.0,161.0,6.0,1999.0,199.0,27.0,485.0,41.0,56.0,4.0,1129.0,38.0,20.0,1990
Other South,6342531.0,3412144.0,2930387.0,533018.0,2397369.0,3750041.0,2156273.0,784944.0,1371329.0,419508.0,828343.0,858411.0,303496.0,50676.0,847.0,5484.0,737.0,22075.0,65430.0,2851.0,19158.0,292.0,1354.0,46404.0,6776.0,19265.0,493.0,12196.0,0.0,21368.0,2845.0,6228.0,19017.0,130185.0,2953.0,45980.0,7445.0,4986.0,4873.0,60792.0,365.0,2717.0,74.0,63352.0,11498.0,7038.0,0.0,7760.0,33284.0,3707.0,65.0,94275.0,1150.0,1092.0,2568.0,86678.0,2787.0,267103.0,11219.0,16395.0,787.0,12155.0,2293.0,6779.0,909.0,262.0,14804.0,16035.0,1371.0,7620.0,142800.0,17.0,23993.0,664.0,9000.0,1720274.0,51502.0,0.0,6818.0,309.0,1006.0,43369.0,267435.0,62366.0,189176.0,2735.0,2473.0,8616.0,506.0,1563.0,178819.0,4677.0,42072.0,456.0,108793.0,828.0,82.0,17551.0,3325.0,1035.0,246555.0,600.0,3962.0,31731.0,484.0,53583.0,8835.0,13018.0,132943.0,17.0,948.0,434.0,975963.0,52293.0,2348.0,1979.0,93.0,11464.0,19446.0,16296.0,1512.0,22990.0,2707.0,3379.0,3538.0,138673.0,20734.0,453300.0,183532.0,14989.0,26690.0,460004.0,234960.0,78.0,604.0,0.0,1692.0,40795.0,1770.0,1660.0,7222.0,100.0,181039.0,40382.0,357.0,0.0,107.0,104.0,424.0,0.0,0.0,554.0,0.0,3598.0,5524.0,27437.0,2277.0,37595.0,1441.0,192.0,727.0,25954.0,347.0,0.0,362.0,0.0,98.0,0.0,3103.0,60.0,68.0,915.0,3416.0,912.0,147067.0,0.0,11138.0,0.0,74364.0,11.0,336.0,2735.0,1925.0,56558.0,345931.0,34464.0,581.0,743.0,3121.0,962.0,2997.0,182.0,404.0,22.0,3726.0,0.0,389.0,300.0,416.0,3061.0,951.0,2130.0,1029.0,325.0,2883.0,1138.0,1217.0,211.0,0.0,3016.0,233.0,4427.0,211562.0,888.0,207798.0,183.0,60.0,87.0,1425.0,920.0,201.0,99905.0,59169.0,261.0,21752.0,0.0,208.0,170.0,11.0,2477.0,296.0,5461.0,369.0,5231.0,4244.0,256.0,2923654.0,624.0,2205.0,25.0,154.0,2920646.0,34257.0,19870.0,6240.0,13630.0,4750.0,1434.0,1064.0,1414.0,219.0,619.0,4837.0,1446.0,188.0,104.0,1899.0,166.0,934.0,100.0,4800.0,598.0,49.0,2929.0,16.0,177.0,21.0,962.0,41.0,7.0,1990
Afghanistan,6724681.0,119338.0,6605343.0,0.0,6605343.0,269865.0,6454816.0,3152582.0,3302234.0,0.0,123.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.0,0.0,237.0,677.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,64.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6604107.0,8485.0,0.0,0.0,8485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6414800.0,0.0,0.0,0.0,14159.0,3123968.0,0.0,0.0,3276673.0,0.0,57.0,0.0,0.0,0.0,0.0,32.0,0.0,25.0,0.0,0.0,0.0,0.0,180765.0,0.0,254.0,215.0,2.0,0.0,241.0,2724.0,74.0,1334.0,0.0,0.0,384.0,166255.0,0.0,0.0,7652.0,1630.0,0.0,82688.0,22587.0,140.0,222.0,51.0,274.0,219.0,0.0,0.0,19103.0,26.0,2552.0,6145.0,0.0,354.0,0.0,0.0,4.0,1.0,29.0,0.0,20.0,40.0,253.0,3368.0,2076.0,917.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,53039.0,4748.0,45.0,3346.0,33279.0,0.0,0.0,0.0,9865.0,1756.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,25.0,0.0,0.0,0.0,0.0,27.0,0.0,147.0,20.0,2.0,0.0,0.0,107.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33765.0,0.0,5321.0,0.0,0.0,28444.0,2885.0,2885.0,2729.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Albania,179490.0,177192.0,2298.0,0.0,2298.0,130506.0,48984.0,48446.0,538.0,0.0,78.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0,111.0,315.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,870.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.0,0.0,0.0,170183.0,1948.0,0.0,103.0,44.0,96.0,82.0,0.0,591.0,1026.0,6.0,0.0,546.0,0.0,5.0,0.0,0.0,0.0,10.0,57.0,0.0,4.0,0.0,21.0,293.0,156.0,154187.0,0.0,0.0,0.0,0.0,0.0,63963.0,0.0,44937.0,16.0,0.0,11.0,27.0,57.0,15.0,160.0,45001.0,13502.0,1733.0,1363.0,3391.0,5211.0,0.0,290.0,0.0,181.0,1333.0,503.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,148.0,6.0,0.0,23.0,57.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6025.0,0.0,398.0,0.0,0.0,5627.0,984.0,984.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Algeria,906030.0,851351.0,54679.0,5587.0,49092.0,870696.0,30942.0,4728.0,26214.0,4137.0,6692.0,31772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,25080.0,0.0,543.0,1551.0,9188.0,0.0,13757.0,41.0,1064.0,0.0,0.0,716.0,348.0,0.0,5594.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,380.0,1450.0,293.0,0.0,0.0,3464.0,0.0,0.0,20924.0,198.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,0.0,0.0,0.0,0.0,19931.0,0.0,0.0,0.0,9.0,0.0,0.0,19544.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,842314.0,2359.0,27.0,32.0,80.0,263.0,643.0,0.0,3.0,1303.0,8.0,0.0,6250.0,0.0,526.0,0.0,0.0,233.0,10.0,113.0,0.0,6.0,0.0,448.0,1320.0,3594.0,17978.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,6171.0,21.0,0.0,55.0,0.0,6.0,4.0,11518.0,0.0,815727.0,711.0,10413.0,788914.0,8493.0,0.0,98.0,0.0,1764.0,5334.0,865.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,44.0,0.0,0.0,0.0,47.0,50.0,0.0,502.0,229.0,4.0,0.0,45.0,17.0,16.0,0.0,95.0,0.0,0.0,12.0,0.0,0.0,84.0,8372.0,0.0,3743.0,0.0,0.0,4629.0,1783.0,665.0,665.0,0.0,513.0,0.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,0.0,0.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
American Samoa,2041.0,1027.0,1014.0,0.0,1014.0,68.0,1973.0,1954.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,995.0,0.0,0.0,0.0,0.0,995.0,0.0,0.0,0.0,0.0,1990
Andorra,3792.0,3737.0,55.0,0.0,55.0,3747.0,45.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3404.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2138.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,122.0,0.0,0.0,0.0,2008.0,0.0,1254.0,1.0,0.0,1233.0,0.0,0.0,0.0,0.0,0.0,20.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,2.0,0.0,10.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Angola,809942.0,166746.0,643196.0,593741.0,49455.0,166230.0,174216.0,37435.0,136781.0,469496.0,637190.0,637213.0,124741.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,123777.0,0.0,479606.0,0.0,0.0,0.0,0.0,10334.0,468462.0,0.0,342.0,468.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,31185.0,551.0,0.0,24028.0,6602.0,4.0,1658.0,0.0,0.0,1588.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162918.0,637.0,0.0,4.0,33.0,32.0,38.0,0.0,0.0,519.0,11.0,0.0,1350.0,0.0,48.0,0.0,0.0,4.0,10.0,92.0,0.0,1.0,0.0,30.0,340.0,825.0,143098.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,304.0,0.0,0.0,141573.0,0.0,0.0,0.0,1201.0,0.0,17833.0,188.0,647.0,11499.0,0.0,0.0,0.0,0.0,1727.0,3772.0,5402.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,4.0,0.0,0.0,0.0,39.0,0.0,0.0,5141.0,20.0,6.0,4868.0,7.0,49.0,14.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,167.0,3518.0,0.0,1266.0,0.0,0.0,2252.0,310.0,310.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Anguilla,2047.0,540.0,1507.0,0.0,1507.0,1364.0,515.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,314.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,95.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,1507.0,1460.0,0.0,17.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,7.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,8.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Antigua and Barbuda,21747.0,14555.0,7192.0,0.0,7192.0,19767.0,1487.0,1428.0,59.0,0.0,693.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,693.0,0.0,0.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,542.0,13.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,4.0,0.0,19.0,0.0,0.0,0.0,0.0,11.0,20.0,6485.0,6385.0,0.0,0.0,0.0,13.0,226.0,388.0,321.0,0.0,0.0,0.0,184.0,266.0,22.0,0.0,0.0,120.0,0.0,172.0,0.0,175.0,49.0,51.0,0.0,0.0,0.0,4398.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,65.0,0.0,10.0,0.0,13.0,37.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13922.0,0.0,1900.0,0.0,0.0,12022.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
