Year,MajorArea,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,WORLD,3.3,4.1,5.1,6.3,8.1,9.5,9.7,9.1,8.2,6.9,5.9,5.3,4.9,3.9,3.3,6.4,100
1990,More developed regions,1.4,2.7,4,5.4,7.5,9.2,9.9,9.7,9.1,7.7,6.6,5.9,5.5,4.3,3.7,7.2,100
1990,Less developed regions,5.6,5.9,6.4,7.5,8.9,9.8,9.4,8.3,7.1,5.8,5,4.5,4.1,3.4,2.8,5.4,100
1990,Least developed countries,9.9,10.1,9.9,11.1,11.7,10.8,8.6,6.7,5.2,3.9,3.3,2.8,2.5,1.4,0.9,1.2,100
1990,Less developed regions. excluding least developed countries,4.7,5.1,5.7,6.8,8.4,9.6,9.5,8.7,7.5,6.2,5.3,4.8,4.5,3.9,3.1,6.2,100
1990,High-income countries,2.4,3.3,4.1,5.3,7.7,9.8,10.5,9.7,8.8,7.1,6.2,5.5,5.1,4.2,3.5,6.9,100
1990,Middle-income countries,3.4,4.2,5.5,6.9,8.2,9,8.9,8.8,7.9,7,5.8,5.4,5,4,3.4,6.5,100
1990,Upper-middle-income countries,3.5,4.6,6.4,7.6,8.6,9,8.8,8.6,7.8,6.9,5.4,5.6,5.1,3.9,3,5.2,100
1990,Lower-middle-income countries,3.4,3.8,4.7,6.3,7.8,8.9,9,8.9,8.1,7.1,6.1,5.3,4.9,4.1,3.7,7.8,100
1990,Low-income countries,9.8,9.8,9.7,10.5,11.2,10.7,9.2,7.1,5.5,4.2,3.4,2.8,2.4,1.6,0.9,1.3,100
1990,Sub-Saharan Africa,9.7,9.7,9.3,10.5,11.7,11.2,9.2,7.1,5.4,4.1,3.3,2.8,2.5,1.4,0.9,1.2,100
1990,AFRICA,9.6,9.6,9.3,10.5,11.7,11.2,9.2,7.1,5.4,4.1,3.3,2.8,2.5,1.5,0.9,1.2,100
1990,Eastern Africa,9.7,9.1,9.4,10.5,11.1,11,9.4,7.3,5.5,4.2,3.5,2.9,2.5,1.7,0.9,1.4,100
1990,Burundi,6.8,7.2,6.4,6.4,8.8,12.2,13.2,10.4,7.8,5.7,4.5,3.2,2.8,2.2,0.9,1.3,100
1990,Comoros,4.8,6.7,8.2,8.7,9,11.4,12,11.1,8.7,6.5,4.8,3,2.1,1.5,0.6,0.9,100
1990,Djibouti,3.3,5,9,15.2,19.2,17.4,11.8,6.2,3.1,2.4,2.1,1.8,1.5,0.9,0.5,0.7,100
1990,Eritrea,5.9,5.2,6.8,9.6,12.7,14.1,12.7,10.1,6.8,4.5,3.2,2.9,2.3,1.6,0.6,1.1,100
1990,Ethiopia,6.6,7.1,8.7,11.5,12.6,12.2,10.1,7.8,5.8,4.4,3.5,2.9,2.6,2.2,0.9,1.3,100
1990,Kenya,6,7.4,9.7,14.7,11.6,11.7,9,6.9,5,4.3,3.5,2.8,2.5,1.9,1.3,1.6,100
1990,Madagascar,7.3,7.4,5.5,6.2,8.4,9.2,8.7,7.5,7.1,7.1,6.3,5,3.5,2.7,3.4,4.6,100
1990,Malawi,15.6,13.1,11.5,11.9,10.1,8.7,6.9,5.4,4.1,2.8,2.5,2.3,1.9,0.7,0.5,1.7,100
1990,Mauritius,8.6,10.6,7.9,5.4,9.4,9.7,10,8.6,6.9,4.7,3.1,2.9,3,2.8,2,4.4,100
1990,Mayotte,7.5,7.2,9.1,11.3,13.2,13.2,11.3,8.8,5.7,2.5,2.9,2.8,2.6,0.9,0.3,0.7,100
1990,Mozambique,15.9,11.2,8.2,12.3,21.2,7.5,5.2,4.7,3.4,3,2.2,1.7,1.2,1,0.5,0.8,100
1990,Réunion,4.1,9.8,12.5,9.5,6.7,9.7,10.6,10.4,7.5,5.9,5,3.2,1.8,1.2,0.8,1.4,100
1990,Rwanda,5.6,6.2,6.9,8.2,11,11.8,10.7,8.6,6.8,5.3,4.3,3.5,2.5,2.7,2.6,3.4,100
