MajorArea,a,1995,2000,2005,2010,2015,2017
WORLD,2.9,2.8,2.8,2.9,3.2,3.4,3.4
More developed regions,7.2,7.9,8.7,9.6,10.6,11.2,11.6
Less developed regions,1.7,1.5,1.4,1.4,1.6,1.8,1.8
Least developed countries,2.2,2,1.5,1.3,1.2,1.4,1.4
"Less developed regions, excluding least developed countries",1.6,1.4,1.4,1.4,1.6,1.8,1.8
High-income countries,7.7,8.5,9.6,10.9,12.6,13.6,14.1
Middle-income countries,1.7,1.5,1.4,1.3,1.3,1.4,1.4
Upper-middle-income countries,1.6,1.5,1.5,1.5,1.6,1.8,1.9
Lower-middle-income countries,1.8,1.5,1.3,1.1,1.1,1.1,1
Low-income countries,2.6,2.5,1.8,1.6,1.3,1.6,1.6
Sub-Saharan Africa,2.9,2.6,2,1.9,1.8,2.2,2.2
AFRICA,2.5,2.3,1.8,1.7,1.6,2,2
Eastern Africa,3,2.2,1.9,1.6,1.3,1.7,1.8
Burundi,6.2,4.3,2,2.3,2.7,2.8,2.8
Comoros,3.4,2.9,2.5,2.2,1.8,1.6,1.5
Djibouti,20.7,15.8,14,11.8,11.9,12.1,12.1
Eritrea,0.4,0.4,0.4,0.4,0.4,0.3,0.3
Ethiopia,2.4,1.4,0.9,0.7,0.6,1.2,1.2
Kenya,1.3,2.3,2.2,2.1,2.2,2.3,2.2
Madagascar,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Malawi,11.9,2.4,2,1.7,1.4,1.3,1.3
Mauritius,0.3,0.7,1.3,1.6,2,2.3,2.3
Mayotte,16.1,21.4,30.2,35.5,34.9,30.8,29.4
Mozambique,0.9,1.1,1.1,1,0.9,0.9,0.8
Reunion,9.4,11.5,13.7,14.5,14.8,14.7,14.7
Rwanda,2.2,3.9,4.3,4.8,4.3,3.8,3.6
Seychelles,5.3,6.7,8.1,10.1,12.5,13.6,13.6
Somalia,6.5,0.3,0.2,0.2,0.2,0.3,0.3
South Sudan,0,0,0,0,2.6,7.1,6.7
Uganda,3.2,3.1,2.6,2.3,1.6,3,3.9
Tanzania,2.3,3.7,2.7,2,0.7,0.8,0.9
Zambia,3.5,2.7,3,2.1,1.1,1,0.9
Zimbabwe,6.2,3.8,3.4,3,2.8,2.6,2.4
Middle Africa,2,3.1,1.8,1.7,1.6,2.2,2.2
Angola,0.3,0.3,0.3,0.3,0.3,2.3,2.1
Cameroon,2.3,1.8,1.5,1.5,1.4,2.2,2.2
Central African Republic,2.3,3,3.3,2.3,2.1,1.8,1.9
Chad,1.2,1.3,1.3,3.5,3.5,3.7,3.3
Congo,5.3,6.8,9.5,8.5,9.6,7.9,7.6
