MajorArea,1990,1995,2000,2005,2010,2015,2017
WORLD,5330943,5751474,6145007,6542159,6958169,7383009,7550262
More developed regions,1146999,1171325,1190505,1210546,1235143,1253207,1259922
Less developed regions,4183944,4580149,4954502,5331614,5723027,6129802,6290340
Least developed countries,510828,585496,664805,754118,848792,956631,1002486
Less developed regions,934,3673171,3994717,4289763,4577575,4874319,5173249
High-income countries,979798,1014366,1048290,1084099,1125490,1156575,1167958
Middle-income countries,4026594,4363507,4669330,4967089,5269984,5581750,5702407
Upper-middle-income countries,2099726,2229246,2329418,2420247,2512514,2611849,2647482
Lower-middle-income countries,1926868,2134261,2339912,2546842,2757470,2969901,3054924
Low-income countries,322686,371553,42513,488441,560007,641859,677007
Sub-Saharan Africa,513477,58891,672258,767837,879522,1007882,1063198
AFRICA,634567,722922,817566,924758,1049446,1194370,1256268
Eastern Africa,198646,226021,261114,3006,346987,399458,422036
Burundi,5415,5962,6401,7423,8767,10199,10864
Comoros,412,475,542,612,690,777,814
Djibouti,590,630,718,783,851,927,957
Eritrea,3113,309,3393,3969,4391,4847,5069
Ethiopia,48087,5731,66537,76727,87703,99873,104957
Kenya,23403,27346,3145,36048,4135,47236,497
Madagascar,11599,13475,15767,18337,21152,24234,25571
Malawi,9438,9909,11376,1304,15167,17574,18622
Mauritius,1056,1129,1185,1222,1248,1259,1265
Mayotte,95,123,150,178,209,240,253
Mozambique,13248,15759,18068,20923,24221,28011,29669
Réunion,611,674,737,792,831,863,877
Rwanda,7236,5928,8026,8992,10247,1163,12208
Seychelles,71,77,81,89,91,94,95
Somalia,7397,7705,9011,1041,12053,13908,14743
South Sudan,5768,546,6701,8109,10067,11882,12576
Uganda,17439,2055,24039,28544,33915,40145,42863
United Republic of Tanzania,2546,29961,34178,39411,46099,5388,5731
Zambia,8027,9137,10531,12052,1385,16101,17094
Zimbabwe,10183,1132,12222,1294,14086,15777,1653
Middle Africa,71331,84196,96099,111954,131351,153743,163495
Angola,12171,14269,16441,19553,23369,27859,29784
Cameroon,11715,13461,15274,17421,1997,22835,24054
Central African Republic,294,3353,3755,4128,4449,4546,4659
Chad,5957,7001,8343,10067,11887,14009,149
Congo,244,2799,3226,3718,4387,4996,5261
Rep. Dem. of the Congo,34615,41596,47076,54751,64523,76197,8134
Equatorial Guinea,427,505,614,757,951,1175,1268
Gabon,952,1086,1231,1403,164,193,2025
Sao Tome and Principe,114,126,139,156,175,196,204
Northern Africa,141238,158115,172559,187832,20431,225136,233604
Algeria,25912,28904,31184,33288,36118,39872,41318
Egypt,57412,63714,69906,76778,84108,93778,97553
Libya,4437,4949,5356,5793,6169,6235,6375
Morocco,24879,27075,2885,30521,3241,34803,3574
Sudan,20148,24103,27251,30912,34386,38648,40533
Tunisia,8233,9114,9699,10102,1064,11274,11532
Western Sahara,217,256,314,438,480,526,553
Southern Africa,42818,48035,52286,55764,59016,6342,65143
Botswana,1378,1569,1728,1856,2015,2209,2292
Lesotho,1604,1761,1869,195,2041,2175,2233
Namibia,1415,1655,1899,2032,2173,2426,2534
South Africa,37561,42088,45728,48821,51585,55291,56717
Swaziland,861,961,1061,1106,1203,1319,1367
Western Africa,180533,206555,235508,268608,307781,352614,37199
Benin,4978,5906,6866,7982,9199,10576,11176
Burkina Faso,8811,1009,11608,13422,15605,18111,19193
Cabo Verde,342,389,435,475,502,533,546
Côte d'Ivoire,12268,14541,16687,18336,20401,23108,24295
Gambia,917,1066,1232,1444,1692,1978,2101
Ghana,14628,1676,18939,21542,24512,27583,28834
Guinea,6041,7871,8809,968,10794,12092,12717
Guinea-Bissau,1012,1137,1243,1381,1556,1771,1861
Liberia,2097,2073,2885,3261,3948,45,4732
Mali,8465,9604,10968,12799,15075,17468,18542
Mauritania,203,2327,2709,3131,361,4182,442
Niger,8013,9477,11353,13618,16426,19897,21477
Nigeria,9527,108011,122352,138939,158578,181182,190886
Saint Helena,6,5,5,4,4,4,4
Senegal,7556,8747,9884,11251,12916,14977,15851
Sierra Leone,4312,4275,4564,5658,6459,7237,7557
Togo,3787,4274,497,5683,6503,7417,7798
ASIA,3221342,3489306,3730371,3964343,4194425,4419898,4504428
Central Asia,50343,53437,55559,58738,63156,68705,7084
Kazakhstan,1654,16035,15057,15541,16399,1775,18204
Kyrgyzstan,4373,4566,4921,5075,5422,5865,6045
